start_ts,srcIp,dstIp,srcPort,dstPort,protocol,duration,packets,bytes,packetsPerSecond,bytesPerSecond,averagePacketSize,synCount,ackCount,finCount,rstCount,pshCount,urgCount,label
1787310031725,10.34.135.159,10.34.135.89,8080,42420,6,0.00892,5,440,560.538,49327.4,88.0,1,5,1,0,1,0,brute_force
1787310031700,10.34.135.159,10.34.135.89,8080,42412,6,0.009533,5,440,524.494,46155.5,88.0,1,5,1,0,1,0,brute_force
1787310033720,10.34.135.89,10.34.135.159,43192,8080,6,0.007016,5,528,712.657,75256.6,105.6,1,4,1,0,1,0,brute_force
1787310033885,10.34.135.159,10.34.135.89,8080,43250,6,0.005553,5,440,900.414,79236.4,88.0,1,5,1,0,1,0,brute_force
1787310032735,10.34.135.159,10.34.135.89,8080,42786,6,0.010695,5,440,467.508,41140.7,88.0,1,5,1,0,1,0,brute_force
1787310032633,10.34.135.159,10.34.135.89,8080,42748,6,0.009074,5,440,551.025,48490.2,88.0,1,5,1,0,1,0,brute_force
1787310032089,10.34.135.159,10.34.135.89,8080,42586,6,0.01112,5,440,449.64,39568.3,88.0,1,5,1,0,1,0,brute_force
1787310031939,10.34.135.89,10.34.135.159,42528,8080,6,0.009705,5,528,515.198,54404.9,105.6,1,4,1,0,1,0,brute_force
1787310033357,10.34.135.159,10.34.135.89,8080,43028,6,0.011163,5,440,447.908,39415.9,88.0,1,5,1,0,1,0,brute_force
1787310031942,10.34.135.159,10.34.135.89,8080,42528,6,0.011745,5,440,425.713,37462.8,88.0,1,5,1,0,1,0,brute_force
1787310031674,10.34.135.159,10.34.135.89,8080,42402,6,0.009963,5,440,501.857,44163.4,88.0,1,5,1,0,1,0,brute_force
1787310031846,10.34.135.159,10.34.135.89,8080,42470,6,0.009233,5,440,541.536,47655.2,88.0,1,5,1,0,1,0,brute_force
1787310033800,10.34.135.89,10.34.135.159,43210,8080,6,0.006098,5,528,819.941,86585.8,105.6,1,4,1,0,1,0,brute_force
1787310032083,10.34.135.89,10.34.135.159,42586,8080,6,0.013621,5,528,367.08,38763.7,105.6,1,4,1,0,1,0,brute_force
1787310033966,10.34.135.89,10.34.135.159,43274,8080,6,0.010772,5,529,464.166,49108.8,105.8,1,4,1,0,1,0,brute_force
1787310032759,10.34.135.159,10.34.135.89,8080,42790,6,0.008755,5,440,571.102,50257.0,88.0,1,5,1,0,1,0,brute_force
1787310032283,10.34.135.159,10.34.135.89,8080,42658,6,0.010546,5,440,474.113,41722.0,88.0,1,5,1,0,1,0,brute_force
1787310033024,10.34.135.89,10.34.135.159,42900,8080,6,0.012954,5,528,385.981,40759.6,105.6,1,4,1,0,1,0,brute_force
1787310032206,10.34.135.89,10.34.135.159,42622,8080,6,0.009046,5,528,552.73,58368.3,105.6,1,4,1,0,1,0,brute_force
1787310032182,10.34.135.89,10.34.135.159,42612,8080,6,0.010429,5,528,479.432,50628.1,105.6,1,4,1,0,1,0,brute_force
1787310033942,10.34.135.89,10.34.135.159,43270,8080,6,0.010585,5,529,472.367,49976.4,105.8,1,4,1,0,1,0,brute_force
1787310031965,10.34.135.159,10.34.135.89,8080,42544,6,0.008468,5,440,590.458,51960.3,88.0,1,5,1,0,1,0,brute_force
1787310032063,10.34.135.159,10.34.135.89,8080,42574,6,0.010398,5,440,480.862,42315.8,88.0,1,5,1,0,1,0,brute_force
1787310031961,10.34.135.89,10.34.135.159,42544,8080,6,0.009186,5,528,544.307,57478.8,105.6,1,4,1,0,1,0,brute_force
1787310033103,10.34.135.89,10.34.135.159,42934,8080,6,0.01201,5,528,416.32,43963.4,105.6,1,4,1,0,1,0,brute_force
1787310033133,10.34.135.159,10.34.135.89,8080,42942,6,0.012258,5,440,407.897,35894.9,88.0,1,5,1,0,1,0,brute_force
1787310033474,10.34.135.89,10.34.135.159,43078,8080,6,0.010676,5,528,468.34,49456.7,105.6,1,4,1,0,1,0,brute_force
1787310033723,10.34.135.159,10.34.135.89,8080,43192,6,0.007411,5,440,674.673,59371.2,88.0,1,5,1,0,1,0,brute_force
1787310033179,10.34.135.89,10.34.135.159,42966,8080,6,0.01073,5,528,465.983,49207.8,105.6,1,4,1,0,1,0,brute_force
1787310033184,10.34.135.159,10.34.135.89,8080,42966,6,0.009206,5,440,543.124,47794.9,88.0,1,5,1,0,1,0,brute_force
1787310033448,10.34.135.89,10.34.135.159,43076,8080,6,0.012847,5,528,389.196,41099.1,105.6,1,4,1,0,1,0,brute_force
1787310033204,10.34.135.89,10.34.135.159,42976,8080,6,0.011952,5,528,418.34,44176.7,105.6,1,4,1,0,1,0,brute_force
1787310031538,10.34.135.89,10.34.135.159,42340,8080,6,0.013424,5,527,372.467,39258.0,105.4,1,4,1,0,1,0,brute_force
1787310033209,10.34.135.159,10.34.135.89,8080,42976,6,0.009883,5,440,505.919,44520.9,88.0,1,5,1,0,1,0,brute_force
1787310033281,10.34.135.89,10.34.135.159,43000,8080,6,0.009473,5,528,527.816,55737.4,105.6,1,4,1,0,1,0,brute_force
1787310033051,10.34.135.89,10.34.135.159,42904,8080,6,0.011281,5,528,443.223,46804.4,105.6,1,4,1,0,1,0,brute_force
1787310033285,10.34.135.159,10.34.135.89,8080,43000,6,0.011321,5,440,441.657,38865.8,88.0,1,5,1,0,1,0,brute_force
1787310033303,10.34.135.89,10.34.135.159,43008,8080,6,0.009523,5,528,525.045,55444.7,105.6,1,4,1,0,1,0,brute_force
1787310033351,10.34.135.89,10.34.135.159,43028,8080,6,0.013335,5,528,374.953,39595.1,105.6,1,4,1,0,1,0,brute_force
1787310033382,10.34.135.159,10.34.135.89,8080,43040,6,0.010401,5,440,480.723,42303.6,88.0,1,5,1,0,1,0,brute_force
1787310033403,10.34.135.89,10.34.135.159,43054,8080,6,0.007921,5,528,631.233,66658.3,105.6,1,4,1,0,1,0,brute_force
1787310033406,10.34.135.159,10.34.135.89,8080,43054,6,0.008518,5,440,586.992,51655.3,88.0,1,5,1,0,1,0,brute_force
1787310033579,10.34.135.159,10.34.135.89,8080,43118,6,0.009208,5,440,543.006,47784.5,88.0,1,5,1,0,1,0,brute_force
1787310033429,10.34.135.159,10.34.135.89,8080,43060,6,0.009337,5,440,535.504,47124.3,88.0,1,5,1,0,1,0,brute_force
1787310033921,10.34.135.89,10.34.135.159,43258,8080,6,0.007343,5,528,680.921,71905.2,105.6,1,4,1,0,1,0,brute_force
1787310033454,10.34.135.159,10.34.135.89,8080,43076,6,0.010252,5,440,487.71,42918.5,88.0,1,5,1,0,1,0,brute_force
1787310033504,10.34.135.159,10.34.135.89,8080,43088,6,0.010067,5,440,496.672,43707.2,88.0,1,5,1,0,1,0,brute_force
1787310033548,10.34.135.89,10.34.135.159,43114,8080,6,0.012783,5,528,391.144,41304.9,105.6,1,4,1,0,1,0,brute_force
1787310033554,10.34.135.159,10.34.135.89,8080,43114,6,0.010753,5,440,464.987,40918.8,88.0,1,5,1,0,1,0,brute_force
1787310033333,10.34.135.159,10.34.135.89,8080,43018,6,0.008526,5,440,586.441,51606.8,88.0,1,5,1,0,1,0,brute_force
1787310033499,10.34.135.89,10.34.135.159,43088,8080,6,0.010919,5,528,457.917,48356.1,105.6,1,4,1,0,1,0,brute_force
1787310033575,10.34.135.89,10.34.135.159,43118,8080,6,0.010275,5,528,486.618,51386.9,105.6,1,4,1,0,1,0,brute_force
1787310033598,10.34.135.89,10.34.135.159,43134,8080,6,0.011621,5,528,430.256,45435.0,105.6,1,4,1,0,1,0,brute_force
1787310033624,10.34.135.89,10.34.135.159,43138,8080,6,0.010514,5,528,475.556,50218.8,105.6,1,4,1,0,1,0,brute_force
1787310033629,10.34.135.159,10.34.135.89,8080,43138,6,0.008805,5,440,567.859,49971.6,88.0,1,5,1,0,1,0,brute_force
1787310033605,10.34.135.159,10.34.135.89,8080,43134,6,0.008357,5,440,598.301,52650.5,88.0,1,5,1,0,1,0,brute_force
1787310032135,10.34.135.89,10.34.135.159,42598,8080,6,0.011191,5,528,446.788,47180.8,105.6,1,4,1,0,1,0,brute_force
1787310033649,10.34.135.89,10.34.135.159,43152,8080,6,0.012063,5,528,414.491,43770.2,105.6,1,4,1,0,1,0,brute_force
1787310032387,10.34.135.159,10.34.135.89,8080,42694,6,0.010719,5,440,466.461,41048.6,88.0,1,5,1,0,1,0,brute_force
1787310033675,10.34.135.89,10.34.135.159,43166,8080,6,0.008968,5,528,557.538,58876.0,105.6,1,4,1,0,1,0,brute_force
